model,js_mean,js_median,js_q25,js_q75,js_min,js_max,tv_mean,tv_median,top1_match_rate,top5_overlap_mean
C-r16,0.13521252110998605,0.1324138324941423,0.11171057676595701,0.1550033282215463,0.06814789482340244,0.2562340257713841,0.42431790587924867,0.42052470913655116,0.185,0.5979999999999999
Fixed-L9,0.06812009250295817,0.06149825715160099,0.044734924761330966,0.0817736253341598,0.02299210106873281,0.19834316134895996,0.27000910173209797,0.26040900122039634,0.59,0.711
Full-SOR,0.06332594741044666,0.05565597836265753,0.04050426286505361,0.07549070586685289,0.01841515880599256,0.20758283010474649,0.26371192862760734,0.25543444999545123,0.595,0.715
